model,run_file,drive_link,domain,mode,gold_answer,model_answer,verdict
anthropic/claude-opus-4.8,gen/opus-4.8/default/197acf84e960.txt,https://drive.google.com/file/d/11ivTKfSDOQYlCT90htOtXufFOtue8P3Y/view,natural-sciences,default,"Chemistry: Urban Air Quality Monitoring, Atmospheric Biosensors, Crystal Growth Experiment, Drug Metabolism Analysis | Experimental: Double-slit Experiment, Laser Interferometry, Drop Tower Microgravity Test, Electrolysis of Water | Laboratory: Spectrophotometer, Cellular Imaging Experiments, PCR Machine, Fume Hood | Observational: Exoplanet Transit Monitoring, Meteor Shower Counting, Bird Migration Tracking, Wildlife Camera Trapping","double-slit experiment, drop tower microgravity test, electrolysis of water, laser interferometry | bird migration tracking, exoplanet transit monitoring, meteor shower counting, wildlife camera trapping | atmospheric biosensors, fume hood, pcr machine, spectrophotometer | cellular imaging experiments, crystal growth experiment, drug metabolism analysis, urban air quality monitoring",WRONG (2/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/1c6b6763bb7b.txt,https://drive.google.com/file/d/1nMWOu3SC0ZR7GTz30zT2arG39O3QKBQ-/view,world-food-cuisine,default,"South American: Feijoada Completa, Aji de Gallina, Picarones, Empanadas de Pino | meat: Lamb Tagine, Roast Chicken, Beef Stroganoff, Pork Schnitzel | raw: Salmon Sashimi, Tiramisù Tartare, Leche de Tigre, Spicy Shishito Peppers | spicy: Vindaloo, Kimchi, Sichuan Hot Pot, Jalapeño Poppers","aji de gallina, empanadas de pino, leche de tigre, picarones | jalapeño poppers, sichuan hot pot, spicy shishito peppers, vindaloo | beef stroganoff, lamb tagine, pork schnitzel, roast chicken | feijoada completa, kimchi, salmon sashimi, tiramisù tartare",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/1d73da108b25.txt,https://drive.google.com/file/d/14ed2NUg_FzkKxYuXYI_UTKJOF-AsNN8G/view,world-food-cuisine,default,"East Asian: Tempura, Sushi, Mapo Tofu, Bibimbap | raw: Leche de Tigre, Spicy Edamame, Spicy Shishito Peppers, Tiradito | savory: Bakso, Miso Soup, Empanada, Savory Cheese Pie | vegetarian: Pão de Queijo, Eggplant Parmesan, Vegetable Samosa, Falafel","miso soup, spicy shishito peppers, sushi, tempura | empanada, leche de tigre, savory cheese pie, tiradito | eggplant parmesan, falafel, mapo tofu, vegetable samosa | bakso, bibimbap, pão de queijo, spicy edamame",WRONG (0/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/1eed027e970f.txt,https://drive.google.com/file/d/1RgWe3NsMQWuRq641SI_i8KHtMQqnVnVH/view,world-politics-governance,default,"civil society or private actor: Fridays for Future, Amnesty International, Greenpeace International, World Economic Forum | hybrid/competitive authoritarian: Singapore, Turkey, Hungary, Serbia | security and defense: Collective defense, Counterterrorism strategy, Cyber defense operations, Military logistics | state government: Ministry of Finance, National legislature, Cabinet, United States Department of Defense","hungary, serbia, singapore, turkey | collective defense, counterterrorism strategy, cyber defense operations, military logistics | cabinet, ministry of finance, national legislature, united states department of defense | amnesty international, fridays for future, greenpeace international, world economic forum",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/1fb7e6592961.txt,https://drive.google.com/file/d/1QTaHwNGdEo-49feFjpa72vU3yccvrZjn/view,world-sport,default,"ball: Netball, Kickball, Dodgeball, Bocce | individual: Squash, Tennis, BMX Racing, Kart Racing | outdoor: Rock Climbing, Orienteering, Disc Golf, Surfing | racket: Racquetball, Pickleball, Padel, Speedminton","padel, pickleball, racquetball, speedminton | dodgeball, netball, squash, tennis | bmx racing, orienteering, rock climbing, surfing | bocce, disc golf, kart racing, kickball",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/2076e0dfaece.txt,https://drive.google.com/file/d/1oW3nj_3E0FKVAkbhHMJsao10LwKG11jn/view,natural-sciences,default,"Biology: Chlorophyll Absorption Analysis, Molecular Dynamics Simulation, Neural Network Brain Simulation, Astrobiology Simulation | Chemistry: Volcano Field Studies, Ecosystem Surveys, Enzyme Kinetics, Atmospheric Biosensors | Laboratory: Cellular Imaging Experiments, Fume Hood, Nanoparticle Synthesis, Spectrophotometer | Physics: Astronomical Survey, Climate Modeling, Supernova Observation, Theoretical Cosmology","climate modeling, molecular dynamics simulation, neural network brain simulation, theoretical cosmology | astrobiology simulation, astronomical survey, atmospheric biosensors, supernova observation | cellular imaging experiments, chlorophyll absorption analysis, ecosystem surveys, enzyme kinetics | fume hood, nanoparticle synthesis, spectrophotometer, volcano field studies",WRONG (0/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/22f7c6da4c03.txt,https://drive.google.com/file/d/1NdkZ303JUeD4_kgckWPZvVns5NwECUdH/view,world-politics-governance,default,"authoritarian: People’s Republic of China, Saudi Arabia, Russian Federation, Islamic Republic of Iran | civil society or private actor: International Committee of the Red Cross, International Chamber of Commerce, Greenpeace International, Wagner Group | state government: United States Department of Defense, Civil service, Ministry of Finance, Central bank | subnational/local: Scottish Government, Barcelona City Council, New York City Mayor’s Office of Climate and Environmental Justice, Dubai Executive Council","islamic republic of iran, people
u2019s republic of china, russian federation, saudi arabia | greenpeace international, international chamber of commerce, international committee of the red cross, wagner group | barcelona city council, dubai executive council, new york city mayor\s office of climate and environmental justice, scottish government | central bank, civil service, ministry of finance, united states department of defense",WRONG (2/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/23f6de8528e4.txt,https://drive.google.com/file/d/1nZV5jSQrnXEVnY8qDHOtw4T-pRrtaboK/view,world-food-cuisine,default,"East Asian: Sushi, Mapo Tofu, Bibimbap, Tempura | Mediterranean: Grilled Eggplant, Moussaka, Shakshuka, Greek Salad | meat: Pork Schnitzel, Feijoada, Beef Stroganoff, Roast Chicken | raw: Tuna Tataki, Baklava, Tiradito, Spicy Shishito Peppers","sushi, tempura, tiradito, tuna tataki | baklava, greek salad, grilled eggplant, moussaka | bibimbap, mapo tofu, shakshuka, spicy shishito peppers | beef stroganoff, feijoada, pork schnitzel, roast chicken",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/25ef79e802a2.txt,https://drive.google.com/file/d/1Yd48XkDevVN5p-clI1P70sKiRfszrfYC/view,world-politics-governance,default,"civil society or private actor: Fridays for Future, World Wide Fund for Nature, World Economic Forum, Greenpeace International | national: Security Council of the Russian Federation, Saudi Ministry of Energy, Brazilian Ministry of Environment and Climate Change, Singapore Ministry of Trade and Industry | regional/supranational: European Union, ASEAN, Shanghai Cooperation Organisation, NATO | security and defense: Cyber defense operations, Military logistics, Collective defense, Counterterrorism strategy","collective defense, counterterrorism strategy, cyber defense operations, military logistics | fridays for future, greenpeace international, world economic forum, world wide fund for nature | brazilian ministry of environment and climate change, saudi ministry of energy, security council of the russian federation, singapore ministry of trade and industry | asean, european union, nato, shanghai cooperation organisation",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/2612ca778ba3.txt,https://drive.google.com/file/d/12z7rFE_FAkDxpgMjnILCN5PyQb0aVjRf/view,economy-business,default,"advertising-supported: Free social media feed, Ad-funded mobile game, Broadcast commercial TV program, Free search engine results page | financial services: Payment processing, Investment banking, Insurance underwriting, Retail banking | state-owned: Sovereign development bank, Crown corporation, Government-controlled utility, State-owned enterprise | subscription: Monthly software license, Metered digital news site, Ad-tier video streaming service, Freemium music streaming service","ad-funded mobile game, broadcast commercial tv program, free search engine results page, free social media feed | ad-tier video streaming service, freemium music streaming service, metered digital news site, monthly software license | insurance underwriting, investment banking, payment processing, retail banking | crown corporation, government-controlled utility, sovereign development bank, state-owned enterprise",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/26b92cb412c9.txt,https://drive.google.com/file/d/1W-CKNezY2mejxxuVqqypEAy87oKBMzVh/view,technology-computing,default,"Windows: Windows OS, Windows Desktop Pro, Windows Workstation, Windows IoT Device | media consumption: Media Streaming Box, Streaming Service, Media Player App, Smart TV | productivity: Office Suite, Productivity App Suite, Productivity Web App, MacOS Productivity Hybrid | smartphone: Wireless Gaming Phone, Wireless Workphone, Wireless Productivity Phone, Android Game Phone","windows desktop pro, windows iot device, windows os, windows workstation | android game phone, wireless gaming phone, wireless productivity phone, wireless workphone | macos productivity hybrid, office suite, productivity app suite, productivity web app | media player app, media streaming box, smart tv, streaming service",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/2c9d23d62aeb.txt,https://drive.google.com/file/d/1yRNSWO8UReS4d3AzDcwQtCDM9Sm00s_G/view,arts-high-culture,default,"East Asian: Great Wall of China, Mount Fuji, Yangtze River, Hangul | European: Iberian Peninsula, Baltic Sea, Venetian printing revival, Northern humanist scholarship | Romantic era: Romantic sublime, Sturm und Drang, Byronic hero, Cult of sensibility | contemporary: Digital media art, Social practice art, Installation art, Performance art","digital media art, installation art, performance art, social practice art | baltic sea, iberian peninsula, northern humanist scholarship, venetian printing revival | byronic hero, cult of sensibility, romantic sublime, sturm und drang | great wall of china, hangul, mount fuji, yangtze river",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/2d8235edf2dc.txt,https://drive.google.com/file/d/1dlVupuBpr82jscNaxFYEi45RvCMjf6Og/view,world-history,default,"Agricultural: Ancient Egypt (Agricultural), Indus Valley Civilization, Mesoamerican Maize Cultures, Neolithic Europe | City-state: Mbanza Kongo, Luoyang (Han), Hong Kong (Modern), Great Zimbabwe | Empire: Roman Empire, British Empire, Mali Empire, Asante Empire | Sub-Saharan Africa: Buganda Kingdom, Kongo Kingdom, Swazi Kingdom, Kingdom of Ghana","buganda kingdom, kingdom of ghana, mali empire, swazi kingdom | asante empire, great zimbabwe, kongo kingdom, mbanza kongo | british empire, hong kong (modern), luoyang (han), roman empire | ancient egypt (agricultural), indus valley civilization, mesoamerican maize cultures, neolithic europe",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/2e42a8a4dbae.txt,https://drive.google.com/file/d/17FrDD2jIE_Bh-W-Cj8y0AjgCvsSC9Hxx/view,arts-high-culture,default,"East Asian: Great Wall of China, Mount Fuji, Yangtze River, Hangul | Islamic world: Qibla, Ummah, Hijri calendar, Ramadan | contemporary: Performance art, Social practice art, Installation art, Digital media art | public museum or concert hall: Acoustic shell, Season subscription, Docent tour, Gallery label","digital media art, installation art, performance art, social practice art | great wall of china, hangul, mount fuji, yangtze river | hijri calendar, qibla, ramadan, ummah | acoustic shell, docent tour, gallery label, season subscription",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/2f5c60bc8a4e.txt,https://drive.google.com/file/d/1qFsVxxq4n7Q82Rt02MS-OuMeusCPFlOI/view,natural-sciences,default,"Chemistry: Chemical Weathering Field Study, Chemical Reaction Theory, Ecosystem Surveys, Human Physiology Experiment | Field: Rainforest Biodiversity Expedition, Coral Reef Transect, Plant Phenology Recording, Glacier Retreat Measurement | Observational: Bird Migration Tracking, Wildlife Camera Trapping, Exoplanet Transit Monitoring, Meteor Shower Counting | Theoretical: Genetic Population Studies, Quantum Field Theory, Game Theory in Evolution, Mathematical Population Genetics","bird migration tracking, exoplanet transit monitoring, meteor shower counting, plant phenology recording | coral reef transect, ecosystem surveys, rainforest biodiversity expedition, wildlife camera trapping | chemical reaction theory, game theory in evolution, mathematical population genetics, quantum field theory | chemical weathering field study, genetic population studies, glacier retreat measurement, human physiology experiment",WRONG (0/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/307d5565f145.txt,https://drive.google.com/file/d/175WaH2PFA99uhCzoCJJcpMAWGEPlylCn/view,world-sport,default,"indoor: Bowling, Indoor Track, Gymnastics, Table Football | mostly Americas: Softball (Americas), American Football (Americas), Basketball (Americas), Baseball (Americas) | team (large): Cricket, American Football, Ultimate Frisbee, Rugby | vehicle: Jet Ski Racing, Snowmobile Racing, Touring Car Racing, Formula 1","formula 1, jet ski racing, snowmobile racing, touring car racing | american football (americas), baseball (americas), basketball (americas), softball (americas) | bowling, gymnastics, indoor track, ultimate frisbee | american football, cricket, rugby, table football",WRONG (2/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/31b917b16ea5.txt,https://drive.google.com/file/d/12Y2gILCLDYIGqMtCT2Y5UfnAf-QNu5y0/view,world-sport,default,"individual: Tennis, Table Tennis, Road Cycling, Golf | indoor: Table Football, Gymnastics, Bowling, Indoor Track | team (large): American Football, Soccer, Ultimate Frisbee, Softball | vehicle: Snowmobile Racing, Jet Ski Racing, Formula 1, Touring Car Racing","bowling, golf, table football, table tennis | formula 1, jet ski racing, snowmobile racing, touring car racing | gymnastics, indoor track, softball, tennis | american football, road cycling, soccer, ultimate frisbee",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/31cd23948701.txt,https://drive.google.com/file/d/1HQd9DHpviKzBTxB74upeiS5q5qYNMmoj/view,world-history,default,"Agricultural: Ancient Egypt (Agricultural), Mesoamerican Maize Cultures, Indus Valley Civilization, Neolithic Europe | East Asia: Song Dynasty, Meiji Japan, Tokugawa Shogunate, Silla Kingdom | Europe: Holy Roman Empire, Renaissance Florence, Ancient Athens, Napoleonic France | Sub-Saharan Africa: Kingdom of Ghana, Buganda Kingdom, Zulu Kingdom, Swazi Kingdom","buganda kingdom, kingdom of ghana, swazi kingdom, zulu kingdom | ancient egypt (agricultural), indus valley civilization, mesoamerican maize cultures, neolithic europe | meiji japan, silla kingdom, song dynasty, tokugawa shogunate | ancient athens, holy roman empire, napoleonic france, renaissance florence",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/32d369aa2a28.txt,https://drive.google.com/file/d/1VzXio5w5z6WkeOfrK5tNLJiTv7CnYHwX/view,modern-entertainment-pop-culture,default,"European: Dark, Amnesia: The Dark Descent, Money Heist, Black Mirror | North American: World of Warcraft, The Simpsons, Breaking Bad, Red Dead Redemption 2 | comedic: Fall Guys, Animal Crossing: New Horizons, Crash Landing on You, Among Us | video game: Elden Ring, The Legend of Zelda: Breath of the Wild, Minecraft, Fortnite","black mirror, crash landing on you, dark, money heist | among us, fall guys, fortnite, world of warcraft | amnesia: the dark descent, elden ring, red dead redemption 2, the legend of zelda: breath of the wild | animal crossing: new horizons, breaking bad, minecraft, the simpsons",WRONG (0/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/32e0eb46a2a1.txt,https://drive.google.com/file/d/1lmM7487v1qBEobnuQuYV3dZBXWFvh4ny/view,economy-business,default,"financial services: Retail banking, Investment banking, Payment processing, Insurance underwriting | national: Domestic airline network, Nationwide logistics network, National public broadcaster, Countrywide supermarket chain | retail: Supermarket merchandising, E-commerce storefront, Department store retailing, Specialty apparel shop | state-owned: Sovereign development bank, Government-controlled utility, Crown corporation, State-owned enterprise","crown corporation, government-controlled utility, sovereign development bank, state-owned enterprise | insurance underwriting, investment banking, payment processing, retail banking | department store retailing, e-commerce storefront, specialty apparel shop, supermarket merchandising | countrywide supermarket chain, domestic airline network, national public broadcaster, nationwide logistics network",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/360b800dffc9.txt,https://drive.google.com/file/d/1o3X6RbzWTPD8O46-ZpBnn_70avdf40hQ/view,world-religions-belief-systems,default,"decentralized congregations or schools: Rabbinic Judaism, Quakerism, Sunni Islam, Congregationalist Christianity | individual or household practice: Household Ancestor Veneration, Hindu Home Puja, Shinto, Yoruba Ifa/Orisha religion | non-theistic or agnostic framework: Theravada Buddhism, Religious Naturalism, Cārvāka/Lokayata, Agnosticism | personal experience or reason: Unitarian Universalism, Modern Druidry, Secular Humanism, Wicca","agnosticism, religious naturalism, secular humanism, unitarian universalism | hindu home puja, household ancestor veneration, shinto, yoruba ifa/orisha religion | congregationalist christianity, modern druidry, quakerism, wicca | cārvāka/lokayata, rabbinic judaism, sunni islam, theravada buddhism",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/360bee5928b0.txt,https://drive.google.com/file/d/1PVzVRIJgOJEgIMVAXuNtlzKM0v95vQTs/view,world-sport,default,"global: Judo, Athletics, Table Tennis Singles, Olympic Swimming | indoor: Indoor Track, Table Football, Bowling, Gymnastics | outdoor: Disc Golf, Orienteering, Rock Climbing, Surfing | team (large): Rugby, Ultimate Frisbee, Cricket, Volleyball","bowling, gymnastics, judo, rock climbing | cricket, rugby, ultimate frisbee, volleyball | athletics, indoor track, olympic swimming, orienteering | disc golf, surfing, table football, table tennis singles",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/364d4aa46b26.txt,https://drive.google.com/file/d/1qQliRou7UY9Ksf0nBT7mSmIMLtl-Bbgt/view,modern-entertainment-pop-culture,default,"action/adventure: Mission: Impossible – Fallout, Genshin Impact, The Witcher 3: Wild Hunt, Cyberpunk 2077 | film or feature-length video: Glass Onion: A Knives Out Mystery, Barbie, Taken, Paddington 2 | scripted series/streaming show: Abbott Elementary, Stranger Things, Fleabag, The Mandalorian | ticketed or one-time purchase: Oppenheimer, Super Mario Bros. Wonder, Dune: Part Two, Baldur's Gate 3","baldur's gate 3, genshin impact, super mario bros. wonder, the witcher 3: wild hunt | abbott elementary, fleabag, stranger things, the mandalorian | barbie, dune: part two, glass onion: a knives out mystery, oppenheimer | cyberpunk 2077, mission: impossible – fallout, paddington 2, taken",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/3b10c543a23c.txt,https://drive.google.com/file/d/13_ItfNvG6TeA7RioIi9SO0rzpt1wxl6z/view,natural-sciences,default,"Chemistry: Chemical Reaction Theory, Chemical Weathering Field Study, Organic Synthesis, Atmospheric Biosensors | Computational Simulation: Molecular Docking Simulation, Agent-based Ecosystem Modeling, Finite Element Analysis, Weather Forecast Simulation | Observational: Exoplanet Transit Monitoring, Bird Migration Tracking, Wildlife Camera Trapping, Meteor Shower Counting | Theoretical: String Theory, Quantum Field Theory, Mathematical Population Genetics, Genetic Population Studies",,NO_ANSWER (bad json)
anthropic/claude-opus-4.8,gen/opus-4.8/default/3baf43b6854e.txt,https://drive.google.com/file/d/1Ltj4jjCX-i_OJMyOye6wkj1A4ndQjaIV/view,world-food-cuisine,default,"South American: Aji de Gallina, Arepas, Empanadas de Pino, Picarones | meat: Feijoada, Roast Chicken, Pork Schnitzel, Lamb Tagine | steamed: Steamed Fish with Ginger, Steamed Baozi, Steamed Dumplings, Sweet Potato Mochi | sweet: Fruit Tart, Chocolate Mousse, Rice Pudding, Sweet Red Bean Bun","steamed baozi, steamed dumplings, steamed fish with ginger, sweet red bean bun | aji de gallina, arepas, empanadas de pino, feijoada | chocolate mousse, fruit tart, rice pudding, sweet potato mochi | lamb tagine, picarones, pork schnitzel, roast chicken",WRONG (0/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/3d23838559e9.txt,https://drive.google.com/file/d/1rgWNpB8s6T_KHyL2slovDikD-gH7LL6P/view,arts-high-culture,default,"European: Danube, Iberian Peninsula, Northern humanist scholarship, Alps | contemporary: Digital media art, Performance art, Social practice art, Installation art | opera: The Peony Pavilion, Faust, Part One, L'Orfeo, Shahnameh | poetry: The Persistence of Memory, Ode to a Nightingale, Oku no Hosomichi, The Prelude","alps, danube, iberian peninsula, northern humanist scholarship | faust, part one, oku no hosomichi, shahnameh, the prelude | l'orfeo, ode to a nightingale, the peony pavilion, the persistence of memory | digital media art, installation art, performance art, social practice art",WRONG (2/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/3d79fdf98044.txt,https://drive.google.com/file/d/1B05cj_jzDhA2tv2GMVR6IJp2BoDU7oZN/view,economy-business,default,"advertising-supported: Free social media feed, Ad-funded mobile game, Free search engine results page, Broadcast commercial TV program | global: Multinational supply chain, Worldwide cloud platform, Global shipping route network, International franchise system | one-time sales: Single-ticket box office sale, Point-of-sale appliance purchase, One-off consulting project, Pay-per-download software sale | state-owned: Government-controlled utility, State-owned enterprise, Crown corporation, Sovereign development bank","crown corporation, government-controlled utility, sovereign development bank, state-owned enterprise | global shipping route network, international franchise system, multinational supply chain, worldwide cloud platform | one-off consulting project, pay-per-download software sale, point-of-sale appliance purchase, single-ticket box office sale | ad-funded mobile game, broadcast commercial tv program, free search engine results page, free social media feed",SOLVED (4/4)
